SUB-UNIT UIC,SUB-UNIT NAME
A87AA,266TH CML PLT
ANDAA,1ST BN 2ND INF
ANEAA,2ND BN 2ND INF
ANDAA,1ST BN 2ND INF
AHRAA,1ST BN 16TH INF
AHSAA,2ND BN 16TH INF
AHTAA,1ST BN 18TH INF
AHUAA,2ND BN 18TH INF
AHVAA,1ST BN 26TH INF
AHWAA,2BN 28TH INF
AHXAA,1ST BN 28TH IN
AHZAA,2ND BN 33D ARTY
AH2AA,121ST SIGAL BN
AH3AA,701 MAINT BN
AHRAA,1ST BN 16TH INF
AHQAA,1ST BN 7TH ARTY
AHPAA,8TH BN 6TH ARTY
AHNAA,1ST BN 5TH ARTY
AHMAA,1ST SQ 4TH CAV
AHLAA,1ST S AND T BN
AHCAA,1ST ENG BN
AHBAA,1ST AVN BN
G4AAA,F CO 52ND INF
ANEAA,2ND BN 2ND INF
ANDAA,1ST BN 2ND INF
AHRAA,1ST BN 16TH INF
AHSAA,2ND BN 16TH INF
AHTAA,1ST BN 18TH INF
AHUAA,2ND BN 18TH INF
AHVAA,1ST BN 26TH INF
AHWAA,2BN 28TH INF
AHXAA,1ST BN 28TH IN
AHZAA,2ND BN 33D ARTY
AHRAA,1ST BN 16TH INF
AHQAA,1ST BN 7TH ARTY
AHPAA,8TH BN 6TH ARTY
AHNAA,1ST BN 5TH ARTY
AHMAA,1ST SQ 4TH CAV
AHBAA,1ST AVN BN
D3FAA,6TH BN 15 ARTY
A87AA,266TH CML PLT
D3FAA,6TH BN 15 ARTY
A87AA,266TH CML PLT
ANEAA,2ND BN 2ND INF
ANDAA,1ST BN 2ND INF
AHRAA,1ST BN 16TH INF
AHSAA,2ND BN 16TH INF
AHTAA,1ST BN 18TH INF
AHUAA,2ND BN 18TH INF
AHVAA,1ST BN 26TH INF
AHWAA,2BN 28TH INF
AHXAA,1ST BN 28TH IN
AHZAA,2ND BN 33D ARTY
AH2AA,121ST SIGAL BN
AHRAA,1ST BN 16TH INF
AHQAA,1ST BN 7TH ARTY
AHPAA,8TH BN 6TH ARTY
AHNAA,1ST BN 5TH ARTY
AHMAA,1ST SQ 4TH CAV
AHLAA,1ST S AND T BN
AHBAA,1ST AVN BN
ANEAA,2ND BN 2ND INF
ANDAA,1ST BN 2ND INF
AHQAA,1ST BN 7TH ARTY
AHRAA,1ST BN 16TH INF
AHSAA,2ND BN 16TH INF
AHTAA,1ST BN 18TH INF
AHUAA,2ND BN 18TH INF
AHVAA,1ST BN 26TH INF
AHWAA,2BN 28TH INF
AHXAA,1ST BN 28TH INF
AHZAA,2ND BN 33D ARTY
AHQAA,1ST BN 7TH ARTY
AHPAA,8TH BN 6TH ARTY
AHNAA,1ST BN 5TH ARTY
AHMAA,1ST SQ 4TH CAV
AHHAA,HBD DIV SPT CMD
AHBAA,1ST AVN BN
D3FAA,6TH BN 15 ARTY
A87AA,266TH CML PLT
D3FAA,6TH BN 15 ARTY
A87AA,266TH CML PLT
ANEAA,2ND BN 2ND INF
ANDAA,1ST BN 2ND INF
AHQAA,1ST BN 7TH ARTY
AHRAA,1ST BN 16TH INF
AHSAA,2ND BN 16TH INF
AHTAA,1ST BN 18TH INF
AHUAA,2ND BN 18TH INF
AHVAA,1ST BN 26TH INF
AHWAA,2BN 28TH INF
AHXAA,1ST BN 28TH IN
AHZAA,2ND BN 33D ARTY
AH2AA,121ST SIGAL BN
AHQAA,1ST BN 7TH ARTY
AHPAA,8TH BN 6TH ARTY
AHNAA,1ST BN 5TH ARTY
AHMAA,1ST SQ 4TH CAV
AHBAA,1ST AVN BN
ANEAA,2ND BN 2ND INF
AHTAA,1ST BN 18TH INF
AHUAA,2ND BN 18TH INF
AHVAA,1ST BN 26TH INF
AHWAA,2BN 28TH INF
AHXAA,1ST BN 28TH IN
AHZAA,2ND BN 33D ARTY
AH3AA,701 MAINT BN
AHTAA,1ST BN 18TH INF
AHSAA,2ND BN 16TH INF
AHRAA,1ST BN 16TH INF
AHQAA,1ST BN 7TH ARTY
AHPAA,8TH BN 6TH ARTY
AHHAA,HBD DIV SPT CMD
AHBAA,1ST AVN BN
D3FAA,6TH BN 15THARTY
A87AA,266TH CML PLT
G4AAA,F CO 52ND INF
D3FAA,6TH BN 15 ARTY
BVWAA,1ST MI DET
A87AA,266TH CML PLT
BVWAA,1ST MI DET
A87AA,266TH CML PLT
BVWAA,1ST MI DET
