"","Term","Home Value","Principle","Annual Interest Rate","Change in Annual Interest Rate","% Change in Annual Interest Rate","Monthly Payment","Change in Monthly Payment","% Change in Monthly Payment","Total Amount Paid","Change in Total Amount Paid","% Change in Total Amount Paid","Total Interest","Change in Total Interest","% Change in Total Interest"
"1",15,5e+05,450000,2.5,-0.5,-16.6666666666667,3000.55144054047,-107.065940710475,-3.44527422701494,540099.259297284,-19271.8693278856,-3.44527422701494,90099.2592972838,-19271.8693278856,-17.6206185033831
"2",15,5e+05,450000,2.625,-0.375,-12.5,3027.10252359898,-80.5148576519664,-2.59088709368577,544878.454247816,-14492.6743773539,-2.59088709368576,94878.4542478155,-14492.6743773539,-13.2509141667746
"3",15,5e+05,450000,2.75,-0.25,-8.33333333333333,3053.79736841702,-53.8200128339258,-1.7318738516085,549683.526315063,-9687.60231010662,-1.73187385160849,99683.5263150628,-9687.60231010662,-8.85754991457337
"4",15,5e+05,450000,2.875,-0.125,-4.16666666666667,3080.63573685241,-26.9816443985283,-0.868242163958649,554514.432633434,-4856.69599173497,-0.868242163958629,104514.432633434,-4856.69599173497,-4.44056493956423
"5",15,5e+05,450000,3,0,0,3107.61738125094,0,0,559371.128625169,0,0,109371.128625169,0,0
"6",15,5e+05,450000,3.125,0.125,4.16666666666667,3134.74204450931,27.1246632583693,0.872844366942321,564253.568011676,4882.43938650656,0.872844366942337,114253.568011676,4882.43938650656,4.46410259076633
"7",15,5e+05,450000,3.25,0.25,8.33333333333333,3162.00946013947,54.3920788885257,1.75028236155092,569161.702825104,9790.57419993472,1.75028236155093,119161.702825104,9790.57419993472,8.9516989748624
"8",15,5e+05,450000,3.375,0.375,12.5,3189.41935233593,81.8019710849881,2.63230510868296,574095.483420467,14724.354795298,2.63230510868298,124095.483420467,14724.354795298,13.4627437609796
"9",15,5e+05,450000,3.5,0.5,16.6666666666667,3216.97143604429,109.35405479335,3.51890343557451,579054.858487973,19683.7298628031,3.51890343557453,129054.858487973,19683.7298628031,17.9971900356465
"10",15,6e+05,540000,2.5,-0.5,-16.6666666666667,3600.66172864856,-128.479128852571,-3.44527422701495,648119.111156741,-23126.2431934627,-3.44527422701495,108119.111156741,-23126.2431934627,-17.6206185033831
"11",15,6e+05,540000,2.625,-0.375,-12.5,3632.52302831877,-96.6178291823594,-2.59088709368576,653854.145097379,-17391.2092528247,-2.59088709368576,113854.145097379,-17391.2092528247,-13.2509141667746
"12",15,6e+05,540000,2.75,-0.25,-8.33333333333333,3664.55684210042,-64.5840154007115,-1.73187385160851,659620.231578075,-11625.1227721281,-1.73187385160851,119620.231578075,-11625.1227721281,-8.85754991457347
"13",15,6e+05,540000,2.875,-0.125,-4.16666666666667,3696.7628842229,-32.3779732782336,-0.868242163958641,665417.319160121,-5828.03519008204,-0.868242163958639,125417.319160121,-5828.03519008204,-4.44056493956428
"14",15,6e+05,540000,3,0,0,3729.14085750113,0,0,671245.354350203,0,0,131245.354350203,0,0
