"","Term","Home Value","Principle","Annual Interest Rate","Change in Annual Interest Rate","% Change in Annual Interest Rate","Monthly Payment","Change in Monthly Payment","% Change in Monthly Payment","Total Amount Paid","Change in Total Amount Paid","% Change in Total Amount Paid","Total Interest","Change in Total Interest","% Change in Total Interest"
"1",15,5e+05,482500,2.5,-0.5,-16.6666666666667,3217.25793346839,-114.798480872898,-3.44527422701494,579106.42802431,-20663.7265571218,-3.44527422701496,96606.4280243099,-20663.7265571218,-17.6206185033832
"2",15,5e+05,482500,2.625,-0.375,-12.5,3245.72659474779,-86.3298195934967,-2.59088709368575,584230.787054602,-15539.3675268295,-2.59088709368576,101730.787054602,-15539.3675268295,-13.2509141667747
"3",15,5e+05,482500,2.75,-0.25,-8.33333333333333,3274.34940058047,-57.7070137608202,-1.73187385160849,589382.892104484,-10387.2624769477,-1.73187385160851,106882.892104484,-10387.2624769477,-8.85754991457343
"4",15,5e+05,482500,2.875,-0.125,-4.16666666666667,3303.12609562509,-28.9303187161991,-0.868242163958628,594562.697212516,-5207.4573689159,-0.86824216395864,112062.697212516,-5207.4573689159,-4.44056493956429
"5",15,5e+05,482500,3,0,0,3332.05641434129,0,0,599770.154581432,0,0,117270.154581432,0,0
"6",15,5e+05,482500,3.125,0.125,4.16666666666667,3361.14008105721,29.0836667159188,0.872844366942337,605005.214590297,5235.06000886532,0.872844366942327,122505.214590297,5235.06000886532,4.46410259076628
"7",15,5e+05,482500,3.25,0.25,8.33333333333333,3390.37681003843,58.3203956971415,1.75028236155092,610267.825806917,10497.6712254854,1.7502823615509,127767.825806917,10497.6712254854,8.95169897486224
"8",15,5e+05,482500,3.375,0.375,12.5,3419.76630556019,87.709891218904,2.63230510868296,615557.935000834,15787.7804194026,2.63230510868295,133057.935000834,15787.7804194026,13.4627437609794
"9",15,5e+05,482500,3.5,0.5,16.6666666666667,3449.30826198082,117.251847639536,3.5189034355745,620875.487156548,21105.3325751164,3.51890343557449,138375.487156548,21105.3325751164,17.9971900356463
"10",15,6e+05,579000,2.5,-0.5,-16.6666666666667,3860.70952016207,-137.758177047479,-3.44527422701495,694927.713629172,-24796.4718685461,-3.44527422701494,115927.713629172,-24796.4718685461,-17.6206185033831
